ra,dec,ks_flux_aper2,ks_fluxerr_aper2,splash_1_flux,splash_1_flux_err,splash_2_flux,splash_2_flux_err,splash_3_flux,splash_3_flux_err,splash_4_flux,splash_4_flux_err,photoz,type,dist,angle
149.903561,2.544478,28.937,0.202,50.644,0.254,36.454,0.186,38.452,2.987,36.827,4.555,0.724,0,212.377524,278.263867
149.909090,2.509779,44.843,0.226,56.976,0.354,37.821,0.205,28.788,4.480,8.773,6.126,0.712,0,212.416241,243.616949
150.018265,2.554665,78.379,0.218,65.262,0.450,57.768,0.489,53.545,8.897,30.018,5.009,null,0,213.217731,71.629741
149.964100,2.595403,42.440,0.215,56.149,0.329,37.172,0.208,26.185,3.429,12.029,3.084,0.689,0,213.985942,2.022842
149.913043,2.501910,48.825,0.226,70.725,0.352,44.477,0.208,29.258,4.811,17.904,5.214,0.691,0,214.624209,235.125176
149.971580,2.594982,73.746,0.215,52.112,0.329,41.714,0.195,23.864,3.331,12.557,4.040,0.242,0,215.110563,9.215961
149.983267,2.479718,37.662,0.215,65.654,0.191,45.883,0.203,39.648,6.482,26.746,4.021,0.702,0,216.571006,159.317905
150.021869,2.546210,2660.779,0.212,1600.559,15.326,1111.814,16.983,817.357,20.314,433.929,22.696,null,0,218.430656,80.310793
149.913714,2.572963,229.174,0.223,133.256,1.444,96.497,0.731,59.719,6.084,35.053,4.977,null,1,218.776117,307.462862
149.909825,2.504579,56.458,0.226,104.880,0.507,65.188,0.386,37.613,6.035,20.072,5.550,0.719,0,219.103190,238.919491
150.023049,2.531646,181.529,0.202,96.668,0.848,64.582,0.407,39.450,6.085,21.536,1.564,null,0,220.121756,94.082339
149.906427,2.510162,26.503,0.222,58.715,0.336,48.811,0.258,30.072,3.197,27.631,3.874,0.924,0,220.453930,245.044199
149.900614,2.529260,53.775,0.202,75.797,0.395,50.613,0.269,45.327,4.592,21.417,4.146,0.790,0,222.103022,263.729684
149.990136,2.480856,76.117,0.216,69.363,0.388,60.350,0.249,42.581,6.642,59.282,6.446,0.340,0,222.821612,152.989480
150.004630,2.581995,1017.288,0.218,525.942,7.243,335.880,4.678,223.181,9.791,116.829,6.006,null,0,225.661829,42.795812
150.022111,2.517785,41.939,0.212,65.974,0.516,41.538,0.233,32.193,3.552,17.406,2.932,0.753,0,225.915540,106.872501
150.022402,2.516541,62.852,0.208,117.131,0.818,85.521,0.331,68.135,5.261,59.163,3.473,null,2,228.253109,107.872007
149.998602,2.587953,27.280,0.215,72.053,0.303,86.784,0.359,76.910,3.357,70.915,4.142,1.447,0,228.710062,35.137985
149.926302,2.588597,144.781,0.226,88.659,1.310,64.085,0.798,45.283,4.064,25.789,6.141,null,1,228.770885,325.862027
150.022192,2.515380,71.433,0.214,117.852,0.676,73.486,0.353,49.405,4.040,29.403,2.726,0.729,0,228.855973,108.926023
149.910140,2.573339,166.231,0.217,134.620,0.593,113.045,0.438,63.147,6.471,56.183,4.822,0.259,0,229.902056,305.781659
149.996815,2.589573,47.079,0.214,59.486,0.314,45.791,0.247,29.294,3.768,11.934,3.163,0.531,0,229.940130,32.991364
150.018508,2.505909,56.510,0.231,75.468,0.374,73.830,0.244,36.442,4.796,127.690,5.764,0.341,0,230.300299,118.057780
150.016186,2.501768,59.095,0.229,76.965,0.297,66.780,0.207,27.337,4.613,162.082,5.774,0.217,0,230.576611,122.306049
149.942379,2.597261,28.827,0.219,53.079,0.415,37.111,0.284,22.293,4.197,10.816,5.109,0.913,0,231.552135,342.257529
149.908590,2.572627,43.537,0.216,88.011,0.449,69.302,0.264,57.943,4.577,43.743,5.982,null,2,232.986642,304.469507
150.001488,2.484491,42.028,0.219,79.690,0.407,62.607,0.269,47.473,4.160,49.847,2.353,0.930,0,233.570048,142.551558
149.905348,2.568256,61.896,0.217,51.183,0.482,35.147,0.291,21.484,5.589,1.849,3.160,null,1,234.512530,299.681805
149.896781,2.539061,213.957,0.213,135.204,1.552,97.096,0.833,52.510,5.951,27.880,4.890,null,1,234.818673,272.691339
150.025589,2.521056,23.046,0.162,50.769,0.386,44.042,0.238,27.968,3.903,31.379,3.113,1.020,0,234.939849,103.236203
149.928425,2.592066,655.747,0.219,714.062,2.460,483.556,1.392,332.461,12.934,350.513,13.679,null,0,235.200016,329.111236
149.933384,2.477098,50.416,0.224,104.620,0.309,70.394,0.284,64.968,5.163,37.975,6.503,0.683,0,235.702707,205.890818
150.027605,2.538726,9102.767,0.145,5010.045,79.336,3763.569,69.991,2546.734,86.492,1445.344,70.557,null,0,236.149290,87.616587
149.997867,2.480860,22.133,0.217,52.080,0.235,58.427,0.225,44.166,4.274,32.920,2.801,1.411,0,236.735261,146.981639
149.996672,2.592415,227.757,0.217,150.220,0.704,118.804,0.468,68.839,3.714,42.397,3.631,null,0,238.319895,31.548004
149.945235,2.600118,69.896,0.218,64.716,0.390,58.463,0.217,41.979,4.539,79.331,7.594,0.330,0,238.569389,345.361167
150.008123,2.488076,1570.075,0.233,741.835,12.997,481.025,5.679,324.526,14.065,172.065,9.063,null,0,239.338325,136.123528
149.998208,2.591984,78.189,0.215,125.267,0.588,78.963,0.292,61.094,3.258,28.711,3.389,null,0,239.949353,32.866008
150.022653,2.508021,82.479,0.210,136.029,1.061,88.881,0.287,64.955,5.998,36.589,3.653,0.720,0,240.272243,114.783609
149.899454,2.511845,1931.323,0.225,1029.104,13.124,772.715,12.486,566.038,17.882,455.281,19.852,null,2,241.168874,248.866588
149.942993,2.600633,163.751,0.220,149.707,0.658,124.428,0.552,80.802,7.130,29.967,5.091,0.340,0,242.512885,343.628799
150.027919,2.552012,97.315,0.144,219.026,0.779,168.935,0.736,157.341,7.219,100.180,4.919,0.730,0,243.982016,76.332919
150.029980,2.533089,58.315,0.128,99.038,0.855,61.483,0.407,53.067,9.942,24.205,3.880,0.691,0,244.711301,92.452603
149.978079,2.469565,22.912,0.216,53.349,0.224,37.672,0.265,33.064,3.464,19.121,7.404,0.689,0,246.057758,166.406280
149.938608,2.600473,149.225,0.227,69.668,0.558,44.327,0.525,33.389,4.192,13.074,2.824,null,0,246.879813,340.077103
150.029460,2.550141,128.575,0.133,89.650,0.301,73.084,0.616,53.892,5.517,32.665,2.389,null,0,247.899705,78.148076
149.903094,2.572361,27.647,0.217,65.286,3.224,56.908,2.370,9.276,8.720,32.019,9.247,0.265,0,249.029017,301.712616
149.904796,2.575153,1149.641,0.222,634.597,8.151,432.468,5.120,281.685,7.816,159.370,10.203,null,0,249.383857,304.417473
150.031202,2.527774,156.922,0.133,91.465,0.808,65.900,0.598,44.637,5.686,22.960,1.667,null,1,250.640640,96.784208
150.026803,2.562017,54.665,0.153,76.662,0.493,56.646,0.466,52.016,4.046,42.513,3.486,null,2,251.175145,68.104149
149.894349,2.518520,38.662,0.206,55.188,2.135,34.700,0.969,44.220,5.920,9.024,6.852,0.711,0,251.312504,255.500091
150.014881,2.582665,53.960,0.216,110.680,0.525,80.488,0.346,82.395,5.105,59.704,5.444,0.591,0,253.754587,48.543416
149.891975,2.526572,29.634,0.203,67.240,0.331,49.904,0.194,38.415,5.039,20.067,4.097,0.928,0,254.120672,262.326441
149.920724,2.593683,159.410,0.216,115.080,0.483,92.793,0.378,51.459,5.642,35.891,5.775,0.244,0,255.262025,324.441798
150.016896,2.490691,214.158,0.237,125.973,1.611,90.197,1.345,56.199,5.727,32.870,3.101,null,1,256.097538,129.560749
149.899308,2.569935,268.847,0.225,166.847,2.105,117.890,1.184,74.607,5.882,43.997,5.181,null,1,256.437616,298.451273
149.996034,2.473266,272.735,0.216,300.587,0.706,251.774,0.730,189.051,11.165,78.137,5.884,null,2,256.879639,151.541813
149.892417,2.519597,1188.629,0.212,713.006,10.304,473.613,4.823,288.443,6.636,169.088,8.579,null,0,257.127150,256.724455
150.009820,2.589341,130.304,0.216,262.371,0.635,188.524,0.575,174.082,5.041,807.113,13.839,0.088,0,257.782912,41.846294
150.022755,2.497759,47.783,0.113,71.479,0.187,53.141,0.160,47.935,0.959,300.367,3.831,0.107,0,258.257748,122.211454
149.999262,2.474411,53.659,0.218,99.538,0.262,88.366,0.278,60.608,6.168,80.035,5.888,0.480,0,259.077286,148.849001
149.927232,2.599159,106.944,0.220,137.428,0.558,87.571,0.436,64.524,4.519,40.045,3.706,0.680,0,259.485359,331.193377
149.982885,2.466970,84.328,0.215,132.705,0.421,83.550,0.461,64.976,5.042,44.193,5.897,0.675,0,259.610843,163.181687
150.030382,2.559329,43.480,0.133,72.244,0.493,54.463,0.358,44.776,3.840,30.331,2.124,null,0,259.876060,71.143496
149.930001,2.471256,123.718,0.223,106.935,0.414,88.205,0.326,44.338,5.818,29.826,6.428,0.360,0,259.941461,206.279318
150.023177,2.497114,349.244,0.202,793.004,1.939,574.528,1.270,419.719,11.243,1522.068,32.216,0.156,0,260.784309,122.465280
149.923998,2.597917,50.986,0.216,69.176,0.436,46.387,0.350,42.093,4.496,18.312,2.857,0.630,0,261.465017,328.486492
149.915935,2.479648,62.029,0.219,90.186,0.307,81.125,0.304,26.261,5.618,129.241,8.826,0.262,0,261.923289,219.238709
150.030926,2.559926,39.154,0.130,72.666,0.382,46.565,0.355,36.016,2.687,20.200,2.593,null,0,262.427285,70.838165
149.982609,2.466053,41.150,0.215,52.297,0.284,38.779,0.186,29.384,4.822,14.867,4.287,0.670,0,262.491229,163.597614
149.918696,2.477242,62.678,0.218,55.141,0.229,55.426,0.261,41.271,4.933,102.396,6.716,0.410,0,262.682418,216.364731
150.004503,2.476580,237.727,0.231,142.653,1.456,100.431,0.892,64.549,4.577,35.601,3.114,null,1,262.919714,144.448974
149.935475,2.604228,158.615,0.215,139.760,0.766,116.724,0.365,62.427,6.914,30.038,3.888,0.330,0,263.494694,338.775395
149.889828,2.521830,38.978,0.206,59.886,0.368,36.943,0.220,23.584,5.001,10.176,3.568,0.726,0,264.532763,258.883175
150.025254,2.573520,198.299,0.165,249.149,0.993,237.654,0.688,142.675,6.782,266.520,9.931,0.330,0,264.566569,59.298594
149.933918,2.467871,37.223,0.220,78.797,0.437,61.466,0.361,44.890,4.287,35.415,5.117,0.839,0,265.245439,202.382574
149.911697,2.590101,23.858,0.217,52.079,0.218,38.140,0.225,27.810,5.044,18.238,4.191,0.864,0,265.822213,317.112951
149.976143,2.608574,57.314,0.203,105.805,0.502,74.459,0.319,70.042,4.480,76.977,5.463,0.711,0,266.170676,11.016141
150.034764,2.522161,76.443,0.114,55.644,0.493,47.354,0.249,28.272,4.661,14.840,1.694,0.380,0,266.393316,100.776900
150.033000,2.514437,2215.393,0.129,1052.466,17.170,701.337,7.867,444.001,12.179,257.878,11.421,null,0,266.891079,106.907242
150.031987,2.560796,59.020,0.127,94.810,0.370,66.044,0.362,46.141,2.279,26.255,2.195,null,0,267.063248,70.471607
149.938000,2.606250,213.480,0.212,269.207,0.727,224.003,0.677,143.909,8.867,67.847,6.004,0.342,0,267.221533,341.156278
149.894378,2.505200,409.632,0.233,235.452,2.580,158.101,2.092,101.227,7.036,53.991,4.917,null,0,267.286755,245.492218
149.887530,2.536726,21.928,0.203,51.288,0.191,37.855,0.199,16.256,6.002,14.599,3.987,0.931,0,267.841142,270.560499
149.963602,2.610728,38.447,0.203,65.571,0.303,43.712,0.191,30.358,4.540,31.193,3.873,0.725,0,269.083285,1.227116
150.035069,2.553140,75.005,0.114,180.174,0.843,126.293,0.450,95.882,5.154,45.917,4.155,0.920,0,269.937453,76.784742
150.030043,2.504096,145.674,0.140,214.784,0.982,164.050,0.614,128.840,7.189,688.389,20.024,0.140,0,270.330255,115.140903
149.969995,2.461317,40.769,0.220,107.843,0.388,72.765,0.310,62.263,7.054,24.648,6.150,0.700,0,270.393067,173.895428
149.975690,2.461452,148.821,0.217,189.028,0.522,191.992,0.818,165.992,8.458,284.409,14.107,null,2,272.852580,169.603359
149.945395,2.461747,79.395,0.223,59.661,0.432,49.258,0.375,21.661,4.305,14.774,5.207,0.359,0,273.900099,192.593981
150.025584,2.494115,48.123,0.171,85.593,0.414,77.057,0.286,38.732,5.761,171.581,9.765,0.275,0,273.917482,123.398343
150.031177,2.568745,117.969,0.129,126.521,1.037,118.607,0.581,74.088,4.582,175.137,7.870,0.333,0,275.305789,64.645667
150.002447,2.470565,29.673,0.217,63.449,0.349,47.836,0.210,29.884,4.857,29.344,2.902,0.857,0,276.863734,148.302491
149.963075,2.613115,30.680,0.203,50.177,0.286,35.925,0.236,23.844,3.478,23.567,2.584,0.899,0,277.642671,0.798110
149.923941,2.603164,105.538,0.221,57.445,0.813,41.748,0.256,31.643,5.270,14.007,5.856,null,1,277.843078,330.486995
149.990640,2.464309,48.810,0.215,92.774,0.555,75.447,0.413,67.116,3.013,69.326,5.479,null,2,277.885025,158.241794
149.971518,2.459271,98.706,0.217,65.238,0.195,51.818,0.252,39.575,5.221,12.206,3.234,0.340,0,278.337416,172.935550
149.919085,2.600954,453.415,0.217,617.919,1.736,515.984,1.167,289.847,10.716,414.944,12.498,0.256,0,280.176815,326.574757
149.887474,2.513124,74.560,0.218,111.354,0.665,70.407,0.313,56.633,4.451,26.077,4.782,0.730,0,280.398034,252.922248
149.938459,2.610501,133.656,0.209,158.506,0.578,132.013,0.382,72.865,5.854,33.680,4.707,0.340,0,281.246969,342.481472
149.947088,2.459253,38.030,0.221,64.825,0.349,47.091,0.282,36.460,4.851,11.993,3.986,0.931,0,281.446068,190.985500
150.033011,2.502937,81.070,0.127,90.205,0.527,92.907,0.282,61.775,5.504,171.711,7.305,0.381,0,281.767221,114.986683
150.037436,2.514593,38.865,0.111,66.721,0.378,59.216,0.367,52.386,6.500,31.407,3.322,0.640,0,282.037579,105.855679
149.927823,2.606653,59.939,0.211,132.015,0.711,97.699,0.485,85.722,4.581,40.776,4.968,0.880,0,282.491575,334.208721
149.893719,2.574938,822.478,0.223,472.810,6.125,297.588,2.348,179.184,10.110,110.678,7.713,null,0,282.759215,299.720693
150.010094,2.473765,253.687,0.224,268.230,0.911,216.142,0.648,110.559,7.012,83.773,3.629,0.210,0,283.049034,142.329401
150.026073,2.581937,27.091,0.156,56.392,0.578,51.514,0.480,31.603,3.309,18.195,3.746,1.214,0,283.633253,54.332759
149.882907,2.530611,60.584,0.205,91.934,0.461,60.334,0.308,51.426,5.767,27.699,4.824,0.670,0,285.118995,266.100177
149.917217,2.601399,45.531,0.215,62.938,0.319,50.173,0.244,30.543,6.183,16.392,4.735,0.251,0,285.255509,325.625839
150.007067,2.470779,43.723,0.221,58.790,0.204,48.065,0.216,45.120,5.098,48.812,3.524,0.556,0,285.310535,145.380490
149.993892,2.462945,471.214,0.222,232.850,2.194,150.030,1.670,97.100,6.097,58.479,5.170,null,1,286.922836,156.435848
149.887819,2.565456,98.985,0.223,55.057,0.450,37.175,0.413,12.637,3.693,8.058,5.883,null,1,287.090601,291.678565
149.897543,2.583160,213.603,0.227,100.497,0.858,65.040,0.514,43.760,4.342,14.703,6.197,null,0,287.333945,306.219699
150.038306,2.559744,38.333,0.107,51.364,0.580,29.621,0.244,24.113,3.092,13.866,3.141,0.710,0,287.432782,72.697912
150.034332,2.501891,42.753,0.122,73.002,0.378,47.070,0.212,33.286,3.985,25.874,3.015,0.732,0,287.668483,115.266499
150.038592,2.559420,36.733,0.106,55.450,0.515,42.006,0.254,28.818,1.501,14.746,3.496,0.876,0,288.074278,72.980141
149.941589,2.613527,50.516,0.209,80.526,0.382,62.922,0.318,41.763,5.312,174.931,8.608,0.160,0,288.587797,345.264498
149.927289,2.608582,21.295,0.208,51.119,0.366,40.476,0.362,38.154,3.965,32.552,4.764,0.858,0,289.582426,334.464792
149.914745,2.601328,87.336,0.215,76.787,0.596,74.180,0.371,45.389,4.926,137.129,7.918,0.250,0,290.158282,324.148511
150.041675,2.550401,63.226,0.096,117.194,0.515,84.479,0.444,58.306,3.255,34.397,4.094,null,0,291.200075,79.743109
150.042468,2.526562,18.868,0.093,52.173,0.496,53.471,0.288,34.332,5.130,26.982,3.929,1.230,0,291.388743,96.694407
149.978718,2.456490,167.311,0.213,170.621,0.521,138.651,0.580,74.967,8.832,38.985,7.743,0.270,0,292.483121,168.136447
150.030259,2.491407,48.551,0.138,87.310,0.333,61.003,0.302,55.569,6.470,36.832,4.625,0.703,0,293.324334,123.180345
149.958159,2.617457,42.027,0.202,89.425,0.398,63.128,0.351,42.299,4.485,21.564,4.241,0.920,0,293.570031,357.303414
150.043606,2.539976,28.561,0.091,57.415,0.345,52.648,0.313,42.169,4.542,28.528,3.549,0.301,0,293.842163,87.206208
149.885234,2.507163,99.906,0.234,59.467,0.411,41.891,0.296,21.165,3.961,8.265,3.581,null,1,294.962761,249.394485
149.923688,2.608579,157.607,0.206,129.726,0.802,108.902,0.377,70.398,5.213,31.464,4.575,0.330,0,295.388528,332.197084
150.030249,2.490290,42.249,0.138,72.412,0.722,51.783,0.268,49.133,5.090,38.832,3.309,0.694,0,295.514893,123.836635
149.886454,2.503615,22.303,0.225,50.433,0.232,45.979,0.195,22.863,3.940,14.390,3.399,1.195,0,295.657852,246.777914
149.891757,2.578780,25.457,0.218,59.644,0.385,77.289,0.338,89.563,2.911,128.155,6.799,null,2,295.865012,301.369602
149.898677,2.588578,409.916,0.224,192.008,1.331,126.138,1.514,85.972,8.404,37.247,9.654,null,1,296.126342,309.732714
149.922117,2.608035,72.611,0.207,158.368,0.583,110.319,0.366,76.261,5.580,48.652,6.395,0.886,0,296.350058,331.053856
150.019118,2.595396,87.959,0.218,67.522,0.435,58.893,0.333,35.535,2.837,60.153,4.963,0.320,0,296.511822,43.849866
149.879919,2.527739,47.876,0.204,75.539,0.367,49.346,0.272,44.058,4.369,18.392,4.213,0.665,0,296.698026,264.249233
149.940192,2.615615,123.271,0.208,88.581,0.384,75.477,0.588,49.094,5.382,29.408,3.980,0.327,0,297.150827,344.696434
149.947733,2.617537,784.587,0.211,403.274,5.183,268.914,4.217,176.142,9.653,102.478,8.686,null,0,297.982940,350.085037
149.967699,2.618600,117.667,0.201,118.720,0.556,107.478,0.372,70.513,5.605,106.395,6.293,0.347,0,298.065477,3.942609
150.029173,2.584542,3868.596,0.142,2222.299,25.874,1550.527,20.617,1050.171,37.954,572.843,27.462,null,0,298.160103,54.117628
149.986724,2.615151,1015.520,0.207,587.694,6.929,402.288,3.112,267.335,8.117,147.416,10.046,null,0,298.492791,17.330013
150.044715,2.543934,2254.487,0.092,1353.885,27.790,961.709,17.056,678.912,14.679,376.652,16.600,null,0,298.848614,84.514068
